"DS Kulkarni","run out",4
"JC Buttler","run out",2
"RJ Quiney","lbw",2
"M Klinger","caught",2
"BJ Haddin","caught",1
"BJ Hodge","stumped",2
"SB Jakati","run out",1
"JR Hopes","caught",13
"Ishan Kishan","caught",29
"SC Ganguly","lbw",2
"DJM Short","run out",2
"SE Marsh","stumped",2
"RE Levi","stumped",1
"S Sreesanth","lbw",1
"S Rana","run out",1
"CR Brathwaite","run out",2
"AL Menaria","caught",15
"SR Watson","caught",70
"AB de Villiers","lbw",6
"CH Morris","run out",4
"S Vidyut","caught",8
"R Bishnoi","caught",2
"A Mishra","caught and bowled",1
"JJ van der Wath","lbw",1
"TM Head","bowled",1
"PP Shaw","bowled",7
"MJ Clarke","lbw",2
"DJ Jacobs","caught",1
"KP Pietersen","run out",3
"A Singh","caught and bowled",1
"JJ Roy","stumped",1
"NM Coulter-Nile","caught",5
"S Anirudha","bowled",1
"P Dogra","run out",5
"GD McGrath","caught",1
"PA Reddy","bowled",2
"AD Mascarenhas","caught",4
"SR Tendulkar","caught and bowled",2
"JP Faulkner","bowled",6
"MS Dhoni","caught and bowled",4
"N Jagadeesan","run out",1
"PP Ojha","run out",2
"BMAJ Mendis","run out",1
"AF Milne","bowled",1
"PJ Sangwan","bowled",2
"JC Archer","bowled",1
"Mohammad Nabi","run out",1
"DP Nannes","bowled",1
"PP Ojha","bowled",3
"KS Williamson","caught",31
"M Muralitharan","run out",2
"MG Johnson","stumped",1
"Gurkeerat Singh","run out",5
"Mohammad Nabi","bowled",2
"TM Dilshan","stumped",1
"V Shankar","lbw",1
"SM Pollock","bowled",4
"Z Khan","run out",3
"SS Tiwary","caught",34
"SC Ganguly","caught",37
"R McLaren","run out",2
"LMP Simmons","caught and bowled",1
"JL Pattinson","caught",1
"LRPL Taylor","caught and bowled",2
"M Kartik","run out",2
"PJ Cummins","lbw",1
"DPMD Jayawardene","stumped",3
"KB Arun Karthik","caught",2
"KJ Abbott","caught",1
"R Ashwin","run out",3
"DPMD Jayawardene","bowled",6
"AC Gilchrist","stumped",3
"DJ Hussey","stumped",1
"IC Pandey","bowled",1
"Mohammad Hafeez","run out",1
"SK Raina","run out",12
"L Balaji","bowled",1
"RV Uthappa","stumped",7
"B Kumar","caught",11
"BAW Mendis","lbw",1
"RE van der Merwe","bowled",2
"AM Nayar","caught",21
"CM Gautam","lbw",1
"SP Narine","caught",34
"MK Pandey","stumped",1
"JD Ryder","run out",3
